Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089161301,01:08:13:000 05 10 2015 -0400 EDT,-72.2690791917,1444022419000,Location,0,000000
GPS,20,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347841,01:17:59:626 05 10 2015 -0400 EDT,-72.2688507075,1444022419000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089161301,01:08:13:000 05 10 2015 -0400 EDT,-72.2690791917,1444022419000,Location,0,000000
GPS,891,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088854440,01:20:07:692 05 10 2015 -0400 EDT,-72.2689547898,1444022419000,Location,-1,000000
GPS,165,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089380444,01:20:07:805 05 10 2015 -0400 EDT,-72.2689149971,1444022419000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089348160,01:20:19:465 05 10 2015 -0400 EDT,-72.2688514699,1444022420000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088492845,01:29:06:000 05 10 2015 -0400 EDT,-72.2689810396,1444022946000,Location,0,000000
GPS,30,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088253122,01:38:13:000 05 10 2015 -0400 EDT,-72.2690320854,1444024203000,Location,0,000000
GPS,20,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089348006,01:45:00:563 05 10 2015 -0400 EDT,-72.2688508893,1444024204000,Location,-1,000000
GPS,30,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088253122,01:38:13:000 05 10 2015 -0400 EDT,-72.2690320854,1444024204000,Location,0,000000
GPS,892,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8090796688,01:49:52:212 05 10 2015 -0400 EDT,-72.2691224176,1444024204000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089350907,01:49:52:349 05 10 2015 -0400 EDT,-72.2688521380,1444024204000,Location,-1,000000
GPS,5318,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8132500033,01:54:22:298 05 10 2015 -0400 EDT,-72.2705007645,1444024462000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089349667,01:54:59:613 05 10 2015 -0400 EDT,-72.2688520691,1444024500000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089351522,02:19:39:311 05 10 2015 -0400 EDT,-72.2688509217,1444025991000,Location,-1,000000
GPS,30,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8087804271,02:37:45:000 05 10 2015 -0400 EDT,-72.2689859849,1444027776000,Location,0,000000
GPS,20,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347642,02:48:00:480 05 10 2015 -0400 EDT,-72.2688504894,1444027776000,Location,-1,000000
GPS,30,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8087804271,02:37:45:000 05 10 2015 -0400 EDT,-72.2689859849,1444027776000,Location,0,000000
GPS,888,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8087515939,02:49:24:337 05 10 2015 -0400 EDT,-72.2688635327,1444027776000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089346630,02:49:24:491 05 10 2015 -0400 EDT,-72.2688505017,1444027776000,Location,-1,000000
GPS,8319,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8076238608,02:53:54:405 05 10 2015 -0400 EDT,-72.2636944691,1444028034000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347499,02:54:31:754 05 10 2015 -0400 EDT,-72.2688503847,1444028072000,Location,-1,000000
GPS,9055,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8075176453,02:58:54:457 05 10 2015 -0400 EDT,-72.2632763766,1444028334000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347909,02:59:38:610 05 10 2015 -0400 EDT,-72.2688508314,1444028379000,Location,-1,000000
